Gene Name	Start position	End position	No of  AA
5'UTR	1	265	 -
NSP1	266	805	180
NSP2	806	2719	638
NSP3	2720	8554	1945
NSP4	8555	10054	500
NSP5	10055	10972	306
NSP6	10973	11842	290
NSP7	11843	12091	83
NSP8	12092	12685	198
NSP9	12686	13024	113
NSP10	13025	13441	139
NSP11	13442	13480	13
NSP12	13468	16236	923
NSP13	16237	18039	601
NSP14	18040	19620	527
NSP15	19621	20658	346
NSP16	20659	21555	299
Spike	21563	25384	1274
NS3/Orf3a	25393	26220	276
E	26245	26472	76
M	26523	27191	223
NS6/Orf6	27202	27387	62
NS7a/Orf7a	27394	27759	122
NS7b/Orf7b	27756	27887	44
Orf8	27894	28259	122
N/Orf9	28274	29533	420
Orf10	29558	29674	39
3'UTR	29675	29903	 -
